Date,Open,High,Low,Close,Adj Close,Volume
2005-09-02,178.750000,180.000000,176.875000,178.656006,106.891930,1245664
2005-09-05,179.625000,183.350006,175.669006,176.300003,105.482323,2194880
2005-09-06,176.875000,177.750000,173.375000,174.705994,104.528587,1658552
2005-09-08,174.875000,177.000000,174.375000,175.511993,105.010841,860816
2005-09-09,175.875000,176.875000,172.125000,174.000000,104.106163,1154936
2005-09-12,175.069000,179.199997,175.069000,178.425003,106.753685,1649920
2005-09-13,178.750000,178.750000,176.386993,177.261993,106.057922,704752
2005-09-14,176.386993,178.311996,173.500000,174.944000,104.670990,1104488
2005-09-15,175.311996,181.988007,175.250000,181.294006,108.470299,3147360
2005-09-16,181.875000,182.988007,180.024994,182.061996,108.929764,2029896
2005-09-19,182.500000,183.363007,180.625000,181.649994,108.683258,1173912
2005-09-20,181.875000,185.250000,179.444000,183.819000,109.980995,1968240
2005-09-21,181.324997,184.750000,178.824997,181.630997,108.671913,2004952
2005-09-22,181.250000,181.630997,175.000000,175.380997,104.932442,2246152
2005-09-23,178.125000,178.750000,175.875000,176.425003,105.557083,1268672
2005-09-26,177.600006,184.250000,175.699997,183.300003,109.670494,840128
2005-09-27,183.750000,184.750000,181.250000,182.705994,109.315071,2213400
2005-09-28,182.500000,184.375000,181.000000,183.669006,109.891258,1635072
2005-09-29,184.386993,186.406006,183.125000,183.949997,110.059387,2750600
2005-09-30,184.488007,186.500000,183.000000,185.156006,110.780975,1496080
2005-10-03,186.250000,188.125000,185.250000,187.130997,111.962616,1235896
2005-10-04,187.136993,187.863007,185.363007,186.149994,111.375679,2483912
2005-10-05,185.886993,186.399994,183.005997,183.705994,109.913376,1999776
2005-10-06,182.500000,182.500000,177.511993,178.255997,106.652588,2647160
2005-10-07,179.375000,181.875000,176.875000,180.681000,108.103539,2234056
2005-10-10,181.250000,182.561996,180.386993,181.162994,108.391876,1383968
2005-10-11,182.500000,184.250000,175.188004,183.488007,109.782974,3842624
2005-10-13,185.000000,186.875000,179.000000,179.705994,107.520157,4675024
2005-10-14,180.625000,181.500000,177.061996,177.893997,106.435997,2123512
2005-10-17,186.250000,186.250000,177.875000,179.231003,107.235954,2094432
2005-10-18,180.000000,182.811996,178.755997,179.830994,109.426529,4048768
2005-10-19,180.000000,180.625000,171.750000,175.287994,106.662125,3380880
2005-10-20,177.500000,179.375000,174.125000,176.994003,107.700287,2542352
2005-10-21,176.875000,179.750000,175.875000,178.649994,108.707893,1722208
2005-10-24,180.011993,180.011993,175.125000,175.824997,106.988876,1478840
2005-10-25,176.750000,181.375000,175.750000,180.330994,109.730789,1066736
2005-10-26,180.000000,180.244003,177.261993,177.712006,108.137131,1121480
2005-10-27,178.125000,178.438004,175.000000,175.800003,106.973679,1361096
2005-10-28,175.000000,175.375000,169.625000,170.287994,103.619614,1324168
2005-10-31,170.944000,175.750000,168.875000,175.031006,106.505753,881704
2005-11-02,176.500000,180.000000,173.544006,178.188004,108.426788,565112
2005-11-04,null,null,null,null,null,null
2005-11-07,178.750000,182.656006,176.886993,182.330994,110.947746,645528
2005-11-08,183.750000,185.561996,183.750000,184.393997,112.203087,1093080
2005-11-09,185.000000,185.250000,181.261993,182.061996,110.784073,1039776
2005-11-10,182.250000,184.556000,182.250000,183.630997,111.738823,1118256
2005-11-11,184.375000,186.250000,183.875000,185.556000,112.910179,2084936
2005-11-14,185.136993,189.250000,184.319000,188.681000,114.811745,2421416
2005-11-16,188.875000,189.625000,186.875000,188.949997,114.975441,2814312
2005-11-17,189.337006,189.738007,186.500000,188.330994,114.598724,1574064
2005-11-18,189.375000,191.375000,189.061996,190.949997,116.192429,4458136
2005-11-21,191.574997,191.750000,188.505997,189.819000,115.504211,1288040
2005-11-22,189.375000,190.261993,186.018997,187.319000,113.982956,1017048
2005-11-23,187.500000,190.119003,187.500000,189.544006,115.336861,1178968
2005-11-24,190.000000,191.500000,189.975006,190.444000,115.884506,827536
2005-11-25,191.250000,192.500000,190.000000,191.619003,116.599464,1541880
2005-11-28,191.994003,193.750000,191.994003,193.419006,117.694733,1751520
2005-11-29,193.188004,193.188004,190.250000,192.869003,117.360107,562904
2005-11-30,193.125000,194.000000,189.375000,189.875000,115.538261,863384
2005-12-01,190.000000,194.000000,189.524994,193.625000,117.820129,884184
2005-12-02,194.694000,195.975006,192.500000,193.556000,117.778168,1530784
2005-12-05,194.000000,194.375000,190.500000,191.024994,116.238045,554032
2005-12-06,191.250000,196.212006,191.000000,194.406006,118.295403,1187816
2005-12-07,195.625000,200.125000,194.500000,199.462006,121.371948,1047960
2005-12-08,200.125000,203.125000,198.899994,202.425003,123.174896,2124272
2005-12-09,202.500000,211.869003,201.518997,210.781006,128.259552,1990656
2005-12-12,211.250000,213.106003,205.136993,206.169006,125.453117,2336072
2005-12-13,206.500000,210.000000,205.625000,208.468994,126.852654,1518968
2005-12-14,208.125000,212.500000,205.000000,211.000000,128.392746,1814912
2005-12-15,211.125000,212.494003,208.811996,211.630997,128.776703,1847792
2005-12-16,211.875000,216.250000,210.143997,214.819000,130.716614,3257424
2005-12-19,214.875000,218.856003,214.863007,216.613007,131.808289,1107064
2005-12-20,217.337006,217.337006,210.875000,211.574997,128.742676,1142552
2005-12-21,211.875000,213.875000,209.375000,210.781006,128.259552,867800
2005-12-22,211.875000,212.500000,210.000000,210.455994,128.061783,640112
2005-12-23,211.250000,213.125000,207.694000,208.975006,127.160606,900368
2005-12-26,209.375000,209.375000,206.893997,207.843994,126.472351,427408
2005-12-27,206.375000,213.000000,206.250000,212.544006,129.332352,544744
2005-12-28,211.750000,213.750000,210.130997,211.143997,128.480408,649552
2005-12-29,212.000000,213.875000,210.505997,212.962006,129.586639,443360
2005-12-30,212.500000,213.988007,211.330994,212.806000,129.491699,649024
2006-01-02,213.375000,214.000000,210.636993,211.238007,128.537613,356008
2006-01-03,210.625000,217.363007,210.625000,216.438004,131.701767,936480
2006-01-04,216.837006,218.625000,215.250000,218.031006,132.671097,1093696
2006-01-05,218.000000,218.000000,215.250000,215.738007,131.275818,636888
2006-01-06,215.875000,217.100006,212.375000,213.156006,129.704681,656112
2006-01-09,213.768997,215.375000,210.518997,211.455994,128.670242,1031400
2006-01-10,211.500000,212.462006,207.500000,208.955994,127.149025,1132888
2006-01-12,208.375000,211.738007,202.250000,209.781006,127.650993,4554768
2006-01-13,209.350006,211.425003,205.125000,206.380997,125.582153,1205608
2006-01-16,206.375000,206.375000,200.375000,201.031006,122.326691,1190920
2006-01-17,201.875000,205.000000,201.281006,202.919006,123.475533,1038840
2006-01-18,202.250000,203.000000,200.636993,202.380997,124.996071,954432
2006-01-19,204.125000,206.863007,203.750000,206.287994,127.409164,1036504
2006-01-20,207.500000,208.738007,204.500000,205.143997,126.702583,806400
2006-01-23,204.250000,204.375000,201.412994,202.744003,125.220245,682800
2006-01-24,204.750000,205.938004,204.000000,205.306000,126.802666,524952
2006-01-25,206.250000,207.250000,205.606003,206.300003,127.416573,1574504
2006-01-27,208.000000,208.125000,206.755997,207.699997,128.281281,531168
2006-01-30,208.125000,209.750000,206.500000,207.587006,128.211502,309640
2006-01-31,206.511993,209.975006,206.511993,208.761993,128.937195,458544
2006-02-01,208.875000,209.500000,207.311996,208.287994,128.644394,649472
2006-02-02,209.000000,209.500000,203.250000,204.449997,126.273964,870936
2006-02-03,206.250000,206.250000,201.500000,203.893997,125.930603,1492936
2006-02-06,204.000000,210.630997,203.018997,209.949997,129.670975,738544
2006-02-07,210.625000,211.500000,205.750000,209.050003,129.115067,1022792
2006-02-08,209.375000,210.625000,206.938004,208.261993,128.628311,623632
2006-02-10,209.011993,209.375000,206.625000,208.669006,128.879761,349624
2006-02-13,210.000000,210.000000,206.125000,206.274994,127.401154,584952
2006-02-14,206.875000,207.500000,201.500000,202.356003,124.980652,1580544
2006-02-15,206.875000,206.875000,200.875000,202.369003,124.988686,785416
2006-02-16,203.119003,204.250000,201.750000,202.962006,125.354942,724808
2006-02-17,203.750000,206.906006,202.500000,203.018997,125.390129,1165224
2006-02-20,204.375000,206.000000,203.380997,205.593994,126.980530,696728
2006-02-21,207.250000,208.125000,206.000000,207.580994,128.207809,415496
2006-02-22,207.750000,208.712006,206.399994,207.511993,128.165146,383968
2006-02-23,207.511993,211.363007,207.511993,208.675003,128.883469,950216
2006-02-24,209.750000,209.875000,207.011993,208.481003,128.763626,334760
2006-02-27,208.750000,212.000000,208.524994,211.311996,130.512146,632584
2006-02-28,206.662994,212.500000,206.662994,211.856003,130.848145,754528
2006-03-01,211.319000,218.500000,210.261993,217.550003,134.364899,1835456
2006-03-02,217.500000,219.162994,215.000000,217.750000,134.488388,1005088
2006-03-03,218.750000,218.875000,213.125000,214.287994,132.350204,581936
2006-03-06,214.375000,219.375000,214.375000,218.061996,134.681152,716472
2006-03-07,218.625000,219.750000,214.656006,215.343994,133.002380,826704
2006-03-08,216.250000,217.500000,212.500000,214.561996,132.519455,1521376
2006-03-09,214.625000,215.975006,211.919006,215.324997,132.990662,2585856
2006-03-10,217.000000,221.875000,215.125000,220.544006,136.214096,2222928
2006-03-13,224.375000,230.625000,221.875000,228.093994,140.877167,1821872
2006-03-14,228.093994,229.988007,224.399994,225.306000,139.155212,1432800
2006-03-16,227.125000,229.375000,226.000000,228.755997,141.286057,1574672
2006-03-17,231.050003,234.875000,230.000000,232.444000,143.563858,1387080
2006-03-20,234.375000,239.375000,233.125000,238.574997,147.350540,1416272
2006-03-21,239.250000,241.850006,237.250000,239.093994,147.671066,1247824
2006-03-22,239.375000,239.750000,230.625000,236.699997,146.192490,1183368
2006-03-23,238.125000,239.975006,233.143997,234.143997,144.613800,731384
2006-03-24,234.375000,237.462006,233.750000,236.656006,146.165298,15001992
2006-03-27,236.875000,238.750000,235.294006,236.356003,145.980026,756624
2006-03-28,237.375000,239.031006,235.125000,235.962006,145.736679,505440
2006-03-29,235.000000,238.125000,233.375000,237.406006,146.628494,1188864
2006-03-30,238.194000,250.625000,238.194000,246.018997,151.948135,1335232
2006-03-31,246.250000,248.125000,237.625000,239.268997,147.779175,650784
2006-04-03,241.125000,244.125000,240.250000,243.431000,150.349701,459912
2006-04-04,244.375000,245.975006,241.906006,243.481003,150.380615,553648
2006-04-05,244.000000,245.375000,239.875000,241.244003,148.998962,732216
2006-04-07,243.500000,250.000000,235.000000,236.100006,145.821884,2982344
2006-04-10,235.625000,239.750000,235.000000,236.975006,146.362335,1666248
2006-04-12,237.500000,237.500000,220.000000,222.886993,137.661133,4301472
2006-04-13,227.500000,229.363007,212.500000,224.606003,138.722870,2600992
2006-04-17,228.625000,238.750000,227.500000,237.949997,146.964554,3728784
2006-04-18,250.000000,262.375000,250.000000,251.587006,155.387085,5651856
2006-04-19,254.750000,256.250000,249.994003,252.143997,155.731094,2878096
2006-04-20,253.750000,254.238007,247.311996,248.561996,153.518753,1569920
2006-04-21,251.125000,252.488007,246.250000,249.255997,153.947403,1168448
2006-04-24,250.136993,250.750000,245.768997,246.938004,152.515747,1155840
2006-04-25,247.500000,247.500000,237.250000,240.949997,148.817337,1956576
2006-04-26,241.375000,245.000000,239.255997,242.794006,149.956329,1065456
2006-04-27,244.750000,250.363007,242.625000,243.988007,150.693726,1989552
2006-04-28,237.761993,250.000000,226.375000,247.761993,153.024658,1822120
2006-05-02,250.000000,252.750000,247.625000,251.330994,155.228958,869320
2006-05-03,252.681000,254.250000,251.375000,253.531006,156.587738,360448
2006-05-04,253.750000,257.125000,250.125000,254.261993,157.039261,524064
2006-05-05,255.238007,256.118988,249.250000,250.488007,154.708298,695960
2006-05-08,250.000000,253.556000,250.000000,252.431000,155.908356,308976
2006-05-09,251.875000,254.625000,250.688004,251.880997,155.568665,433624
2006-05-10,252.281006,255.000000,251.000000,252.994003,156.256134,461688
2006-05-11,253.037994,253.750000,250.755997,252.561996,155.989258,559032
2006-05-12,250.000000,252.975006,247.500000,249.606003,154.163559,823704
2006-05-15,250.261993,250.261993,241.455994,245.738007,151.774643,1132928
2006-05-16,246.875000,249.125000,239.975006,247.369003,152.781891,860992
2006-05-17,250.000000,252.425003,248.875000,251.962006,155.618683,440048
2006-05-18,250.000000,251.238007,238.125000,240.287994,148.408493,1476168
2006-05-19,245.125000,245.125000,231.875000,236.837006,146.277054,1291304
2006-05-22,240.000000,240.000000,220.625000,223.074997,137.777328,1253776
2006-05-23,223.750000,230.000000,213.750000,228.050003,140.849991,1618304
2006-05-24,228.750000,233.125000,221.875000,224.087006,138.402298,1113984
2006-05-25,227.500000,237.500000,218.255997,234.343994,144.737274,956088
2006-05-26,236.886993,237.500000,230.625000,232.468994,143.579254,712544
2006-05-29,233.750000,234.261993,230.024994,230.738007,142.510162,876928
2006-05-30,231.824997,236.750000,229.375000,232.705994,143.725662,1326056
2006-05-31,230.000000,231.125000,216.875000,222.824997,137.622894,1814520
2006-06-01,224.375000,229.875000,212.500000,213.988007,132.164917,1969184
2006-06-02,211.250000,224.375000,210.656006,223.511993,138.047211,1440616
2006-06-05,224.375000,225.625000,219.380997,220.850006,136.403091,887808
2006-06-06,217.500000,222.500000,212.250000,217.455994,134.306885,1204520
2006-06-07,212.625000,222.375000,212.500000,213.869003,132.091446,1395112
2006-06-08,212.625000,214.375000,201.875000,205.636993,127.007065,1381728
2006-06-09,200.000000,211.250000,200.000000,209.268997,129.250320,960656
2006-06-12,208.750000,212.000000,202.811996,204.768997,126.471016,1140328
2006-06-13,197.500000,203.125000,195.050003,196.300003,121.240273,974192
2006-06-14,193.250000,203.750000,181.875000,185.938004,114.840462,4987440
2006-06-15,186.375000,196.100006,186.375000,194.294006,120.001335,2042032
2006-06-16,196.906006,214.488007,196.906006,210.931000,133.365692,2547872
2006-06-19,210.625000,210.625000,204.875000,208.561996,131.867859,1160184
2006-06-20,205.000000,208.500000,200.000000,200.830994,126.979729,1522120
2006-06-21,201.250000,206.000000,199.643997,205.244003,129.769913,2186520
2006-06-22,206.250000,211.231003,206.250000,209.462006,132.436844,1139376
2006-06-23,209.375000,212.625000,204.375000,211.886993,133.970154,1535208
2006-06-26,213.125000,214.369003,202.000000,203.869003,128.900558,1092496
2006-06-27,204.761993,206.625000,200.000000,205.337006,129.828751,1526848
2006-06-28,200.205994,213.375000,200.205994,211.744003,133.879745,1275352
2006-06-29,213.738007,218.500000,208.750000,210.000000,132.777008,1393616
2006-06-30,215.000000,218.125000,213.375000,216.955994,137.175110,2580088
2006-07-03,218.625000,225.856003,216.875000,224.981003,142.249054,1462400
2006-07-04,225.875000,229.100006,225.625000,226.800003,143.399185,859432
2006-07-05,225.000000,232.500000,222.500000,230.975006,146.038925,1080248
2006-07-06,230.975006,230.975006,223.938004,225.406006,142.517792,952616
2006-07-07,226.261993,229.363007,217.505997,218.511993,138.158920,977352
2006-07-10,217.500000,227.375000,217.500000,225.113007,142.332535,1114840
2006-07-11,222.636993,227.488007,220.136993,221.130997,139.814865,1119888
2006-07-12,225.136993,238.625000,224.875000,236.619003,149.607498,3508792
2006-07-13,232.669006,236.250000,231.399994,233.518997,147.647415,1941384
2006-07-14,232.500000,236.750000,227.750000,234.438004,148.228470,2112856
2006-07-17,234.031006,239.363007,231.375000,232.468994,146.983551,2746288
2006-07-18,233.750000,238.712006,228.156006,230.218994,145.560913,4047448
2006-07-19,234.375000,237.455994,218.500000,219.761993,138.949265,5980472
2006-07-20,224.750000,227.337006,221.250000,225.962006,142.869354,2107848
2006-07-21,224.875000,224.875000,218.875000,220.906006,139.672592,1904976
2006-07-24,225.000000,229.231003,216.630997,227.494003,143.838043,2102456
2006-07-25,228.125000,231.875000,228.125000,230.705994,145.868805,1434432
2006-07-26,235.625000,236.593994,229.000000,235.944000,149.180664,1847320
2006-07-27,236.875000,240.000000,234.455994,236.643997,149.623245,2089784
2006-07-28,237.024994,237.500000,231.000000,232.000000,147.622726,742316
2006-07-31,225.000000,237.500000,225.000000,234.000000,148.895325,432520
2006-08-01,225.300003,234.949997,225.300003,232.850006,148.163559,427724
2006-08-02,225.625000,235.988007,225.625000,235.225006,149.674820,512728
2006-08-03,232.500000,237.988007,232.500000,235.863007,150.080795,703572
2006-08-04,229.537994,240.750000,229.537994,237.500000,151.122391,687476
2006-08-07,237.500000,239.250000,233.000000,234.000000,148.895325,507824
2006-08-08,226.750000,239.250000,226.750000,238.699997,151.885956,312264
2006-08-09,236.750000,243.875000,236.250000,241.750000,153.826752,580536
2006-08-10,233.750000,243.750000,233.750000,241.561996,153.707092,684328
2006-08-11,250.000000,250.000000,239.061996,242.061996,154.025208,559584
2006-08-14,236.274994,247.475006,236.274994,241.136993,153.436615,645388
2006-08-16,243.261993,246.250000,242.500000,243.261993,154.788788,1353144
2006-08-17,244.750000,246.000000,239.037994,239.725006,152.538208,1291992
2006-08-18,234.061996,242.949997,234.061996,242.425003,154.256210,663272
2006-08-21,240.000000,243.225006,239.250000,242.350006,154.208466,526252
2006-08-22,240.287994,245.875000,240.287994,243.725006,155.083359,756000
2006-08-23,237.511993,245.000000,237.511993,240.837006,153.245743,801588
2006-08-24,238.750000,242.774994,238.011993,241.850006,153.890350,934292
2006-08-25,240.000000,244.988007,240.000000,243.636993,155.027390,843404
2006-08-28,237.774994,246.375000,237.774994,245.574997,156.260559,806680
2006-08-29,247.500000,248.750000,246.000000,247.524994,157.501328,845244
2006-08-30,247.750000,248.712006,245.024994,246.024994,156.546906,713224
2006-08-31,247.500000,250.425003,246.500000,249.011993,158.447540,1258748
2006-09-01,249.500000,250.000000,248.024994,249.712006,158.892960,402876
2006-09-04,249.800003,255.000000,249.800003,254.449997,161.907791,784572
2006-09-05,250.000000,257.000000,250.000000,251.574997,160.078400,935216
2006-09-06,252.500000,254.250000,247.750000,248.811996,158.320282,572620
2006-09-07,246.250000,247.925003,245.136993,246.550003,156.880966,723696
2006-09-08,240.000000,249.000000,240.000000,248.274994,157.978561,486640
2006-09-11,250.000000,250.250000,237.750000,238.750000,151.917770,1046564
2006-09-12,239.988007,245.250000,238.750000,244.636993,155.663727,620872
2006-09-13,245.500000,251.425003,245.500000,249.350006,158.662628,547084
2006-09-14,250.000000,253.750000,250.000000,253.050003,161.016968,628460
2006-09-15,253.500000,253.500000,249.061996,250.787994,159.577606,313872
2006-09-18,251.000000,253.500000,248.500000,249.199997,158.567154,262816
2006-09-19,251.000000,254.875000,247.824997,252.550003,160.698837,944044
2006-09-20,251.250000,258.750000,248.787994,256.875000,163.450867,1433944
2006-09-21,257.500000,264.500000,257.500000,263.149994,167.443604,1584312
2006-09-22,262.250000,263.149994,258.250000,260.612000,165.828674,660040
2006-09-25,261.250000,262.250000,255.250000,256.299988,163.084946,421328
2006-09-26,257.000000,262.000000,252.561996,260.950012,166.043747,674848
2006-09-27,262.750000,263.725006,259.500000,260.587006,165.812805,628912
2006-09-28,260.075012,262.500000,253.750000,254.725006,162.082748,1249848
2006-09-29,255.500000,258.500000,255.000000,255.399994,162.512253,796484
2006-10-03,255.000000,258.250000,252.500000,253.625000,161.382858,456208
2006-10-04,252.462006,254.925003,245.750000,247.024994,157.183167,2472204
2006-10-05,249.975006,252.250000,248.725006,249.750000,158.917145,1557344
2006-10-06,251.250000,251.750000,247.061996,248.274994,157.978561,754268
2006-10-09,248.761993,252.175003,246.750000,250.688004,159.513977,445752
2006-10-10,251.750000,254.975006,251.000000,252.837006,160.881424,554300
